,LOT,Margin,SYMBOL,,,
OFSS.NS,200,750620,OFSS.NS,,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED (XNSE:OFSS)," ₹ 3,753.10 "
PAGEIND.NS,15,545767.5,PAGEIND.NS,,PAGE INDUSTRIES LIMITED (XNSE:PAGEIND)," ₹ 36,384.50 "
JKCEMENT.NS,250,830362.5,JKCEMENT.NS,,J. K. CEMENT LIMITED. (XNSE:JKCEMENT)," ₹ 3,321.45 "
PERSISTENT.NS,175,830935,PERSISTENT.NS,,PERSISTENT SYSTEMS LIMITED (XNSE:PERSISTENT)," ₹ 4,748.20 "
PIIND.NS,250,919825,PIIND.NS,,PI INDUSTRIES LIMITED (XNSE:PIIND)," ₹ 3,679.30 "
KOTAKBANK.NS,400,746760,KOTAKBANK.NS,,KOTAK MAHINDRA BANK LIMITED (XNSE:KOTAKBANK)," ₹ 1,866.90 "
SBICARD.NS,800,668680,SBICARD.NS,,SBI CARDS AND PAYMENT SERVICES LIMITED (XNSE:SBICARD), ₹ 835.85 
SBILIFE.NS,750,969975,SBILIFE.NS,,SBI LIFE INSURANCE COMPANY LIMITED (XNSE:SBILIFE)," ₹ 1,293.30 "
L&TFH.NS,8924,1183322.4,L&TFH.NS,,L&T FINANCE HOLDINGS LIMITED (XNSE:L&TFH), ₹ 132.60 
LALPATHLAB.NS,300,717750,LALPATHLAB.NS,,DR. LAL PATHLABS Limited (XNSE:LALPATHLAB)," ₹ 2,392.50 "
LAURUSLABS.NS,1700,608600,LAURUSLABS.NS,,LAURUS LABS LIMITED (XNSE:LAURUSLABS), ₹ 358.00 
LICHSGFIN.NS,2000,779800,LICHSGFIN.NS,,LIC HOUSING FINANCE LTD (XNSE:LICHSGFIN), ₹ 389.90 
LT.NS,300,731625,LT.NS,,LARSEN AND TOUBRO LIMITED (XNSE:LT)," ₹ 2,438.75 "
LTIM.NS,150,749662.5,LTIM.NS,,LTIMINDTREE LIMITED (XNSE:LTIM)," ₹ 4,997.75 "
LTTS.NS,200,783730,LTTS.NS,,L&T TECHNOLOGY SERVICES LIMITED (XNSE:LTTS)," ₹ 3,918.65 "
AUROPHARMA.NS,1100,809050,AUROPHARMA.NS,,AUROBINDO PHARMA LTD (XNSE:AUROPHARMA), ₹ 735.50 
LUPIN.NS,850,765722.5,LUPIN.NS,,LUPIN LIMITED (XNSE:LUPIN), ₹ 900.85 
M&M.NS,700,1085980,M&M.NS,,MAHINDRA AND MAHINDRA LIMITED (XNSE:M&M)," ₹ 1,551.40 "
M&MFIN.NS,4000,1314000,M&MFIN.NS,,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED (XNSE:M&MFIN), ₹ 328.50 
